tid,attribute,correct_val
2011-12-01-AA-1221-MCO-ORD,scheduled_dept,12/01/2011 08:00 PM
2011-12-01-AA-1221-MCO-ORD,actual_dept,12/01/2011 08:23 PM
2011-12-01-AA-1221-MCO-ORD,dept_gate,17
2011-12-01-AA-1221-MCO-ORD,scheduled_arrival,12/01/2011 09:45 PM
2011-12-01-AA-1221-MCO-ORD,actual_arrival,12/01/2011 09:53 PM
2011-12-01-AA-1221-MCO-ORD,arrival_gate,K7
2011-12-01-AA-4307-ORD-DTW,scheduled_dept,12/01/2011 06:45 PM
2011-12-01-AA-4307-ORD-DTW,actual_dept,12/01/2011 06:55 PM
2011-12-01-AA-4307-ORD-DTW,dept_gate,G19A
2011-12-01-AA-4307-ORD-DTW,scheduled_arrival,12/01/2011 09:10 PM
2011-12-01-AA-4307-ORD-DTW,actual_arrival,12/01/2011 08:53 PM
2011-12-01-AA-4307-ORD-DTW,arrival_gate,D28
2011-12-01-AA-616-DFW-DTW,scheduled_dept,12/01/2011 09:05 AM
2011-12-01-AA-616-DFW-DTW,actual_dept,12/01/2011 10:10 AM
2011-12-01-AA-616-DFW-DTW,dept_gate,D37
2011-12-01-AA-616-DFW-DTW,scheduled_arrival,12/01/2011 12:35 PM
2011-12-01-AA-616-DFW-DTW,actual_arrival,12/01/2011 01:27 PM
2011-12-01-AA-616-DFW-DTW,arrival_gate,D32
2011-12-01-AA-431-MIA-SFO,scheduled_dept,12/01/2011 08:35 AM
2011-12-01-AA-431-MIA-SFO,actual_dept,12/01/2011 08:51 AM
2011-12-01-AA-431-MIA-SFO,dept_gate,E9
2011-12-01-AA-431-MIA-SFO,scheduled_arrival,12/01/2011 11:50 AM
2011-12-01-AA-431-MIA-SFO,actual_arrival,12/01/2011 11:44 AM
2011-12-01-AA-431-MIA-SFO,arrival_gate,57
2011-12-01-AA-3756-ORD-SLC,scheduled_dept,12/01/2011 12:15 PM
2011-12-01-AA-3756-ORD-SLC,actual_dept,12/01/2011 12:41 PM
2011-12-01-AA-3756-ORD-SLC,dept_gate,G19
2011-12-01-AA-3756-ORD-SLC,scheduled_arrival,12/01/2011 02:45 PM
2011-12-01-AA-3756-ORD-SLC,actual_arrival,12/01/2011 02:50 PM
2011-12-01-AA-3756-ORD-SLC,arrival_gate,A3
2011-12-01-AA-2050-ORD-MIA,scheduled_dept,12/01/2011 10:40 AM
2011-12-01-AA-2050-ORD-MIA,actual_dept,12/01/2011 11:05 AM
2011-12-01-AA-2050-ORD-MIA,dept_gate,H15
2011-12-01-AA-2050-ORD-MIA,scheduled_arrival,12/01/2011 02:45 PM
2011-12-01-AA-2050-ORD-MIA,actual_arrival,12/01/2011 02:46 PM
2011-12-01-AA-2050-ORD-MIA,arrival_gate,D1
2011-12-01-AA-3804-PHL-ORD,scheduled_dept,12/01/2011 02:35 PM
2011-12-01-AA-3804-PHL-ORD,actual_dept,12/01/2011 02:44 PM
2011-12-01-AA-3804-PHL-ORD,dept_gate,A7
2011-12-01-AA-3804-PHL-ORD,scheduled_arrival,12/01/2011 04:05 PM
2011-12-01-AA-3804-PHL-ORD,actual_arrival,12/01/2011 03:43 PM
2011-12-01-AA-3804-PHL-ORD,arrival_gate,H3A
2011-12-01-AA-1664-MIA-ATL,scheduled_dept,12/01/2011 10:15 AM
2011-12-01-AA-1664-MIA-ATL,actual_dept,12/01/2011 10:18 AM
2011-12-01-AA-1664-MIA-ATL,dept_gate,D1
2011-12-01-AA-1664-MIA-ATL,scheduled_arrival,12/01/2011 12:10 PM
2011-12-01-AA-1664-MIA-ATL,actual_arrival,12/01/2011 11:56 AM
2011-12-01-AA-1664-MIA-ATL,arrival_gate,T11
2011-12-01-AA-789-ORD-DEN,scheduled_dept,12/01/2011 01:05 PM
2011-12-01-AA-789-ORD-DEN,actual_dept,12/01/2011 01:19 PM
2011-12-01-AA-789-ORD-DEN,dept_gate,H11A
2011-12-01-AA-789-ORD-DEN,scheduled_arrival,12/01/2011 02:35 PM
2011-12-01-AA-789-ORD-DEN,actual_arrival,12/01/2011 03:13 PM
2011-12-01-AA-789-ORD-DEN,arrival_gate,A49
2011-12-01-AA-4277-CVG-JFK,scheduled_dept,12/01/2011 12:10 PM
2011-12-01-AA-4277-CVG-JFK,actual_dept,12/01/2011 12:10 PM
2011-12-01-AA-4277-CVG-JFK,dept_gate,1
2011-12-01-AA-4277-CVG-JFK,scheduled_arrival,12/01/2011 02:15 PM
2011-12-01-AA-4277-CVG-JFK,actual_arrival,12/01/2011 01:43 PM
2011-12-01-AA-4277-CVG-JFK,arrival_gate,32G
2011-12-01-AA-85-JFK-SFO,scheduled_dept,12/01/2011 03:05 PM
2011-12-01-AA-85-JFK-SFO,actual_dept,12/01/2011 03:36 PM
2011-12-01-AA-85-JFK-SFO,dept_gate,39
2011-12-01-AA-85-JFK-SFO,scheduled_arrival,12/01/2011 06:30 PM
2011-12-01-AA-85-JFK-SFO,actual_arrival,12/01/2011 06:43 PM
2011-12-01-AA-85-JFK-SFO,arrival_gate,56A
2011-12-01-AA-404-MIA-MCO,scheduled_dept,12/01/2011 06:45 AM
2011-12-01-AA-404-MIA-MCO,actual_dept,12/01/2011 06:57 AM
2011-12-01-AA-404-MIA-MCO,dept_gate,E5
2011-12-01-AA-404-MIA-MCO,scheduled_arrival,12/01/2011 07:45 AM
2011-12-01-AA-404-MIA-MCO,actual_arrival,12/01/2011 07:40 AM
2011-12-01-AA-404-MIA-MCO,arrival_gate,15
2011-12-01-AA-446-DFW-PHL,scheduled_dept,12/01/2011 11:50 AM
2011-12-01-AA-446-DFW-PHL,actual_dept,12/01/2011 12:12 PM
2011-12-01-AA-446-DFW-PHL,dept_gate,D16
2011-12-01-AA-446-DFW-PHL,scheduled_arrival,12/01/2011 03:50 PM
2011-12-01-AA-446-DFW-PHL,actual_arrival,12/01/2011 04:09 PM
2011-12-01-AA-446-DFW-PHL,arrival_gate,A9
