tid,attribute,correct_val
0,ProviderNumber,10018
0,HospitalName,callahan eye foundation hospital
0,Address1,1720 university blvd
0,Address2,
0,Address3,
0,City,birmingham
0,State,al
0,ZipCode,35233
0,CountyName,jefferson
0,PhoneNumber,2053258100
0,HospitalType,acute care hospitals
0,HospitalOwner,voluntary non-profit - private
0,EmergencyService,yes
0,Condition,surgical infection prevention
0,MeasureCode,scip-card-2
0,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
0,Score,
0,Sample,
0,Stateavg,al_scip-card-2
1,ProviderNumber,10018
1,HospitalName,callahan eye foundation hospital
1,Address1,1720 university blvd
1,Address2,
1,Address3,
1,City,birmingham
1,State,al
1,ZipCode,35233
1,CountyName,jefferson
1,PhoneNumber,2053258100
1,HospitalType,acute care hospitals
1,HospitalOwner,voluntary non-profit - private
1,EmergencyService,yes
1,Condition,surgical infection prevention
1,MeasureCode,scip-inf-1
1,MeasureName,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
1,Score,
1,Sample,
1,Stateavg,al_scip-inf-1
2,ProviderNumber,10018
2,HospitalName,callahan eye foundation hospital
2,Address1,1720 university blvd
2,Address2,
2,Address3,
2,City,birmingham
2,State,al
2,ZipCode,35233
2,CountyName,jefferson
2,PhoneNumber,2053258100
2,HospitalType,acute care hospitals
2,HospitalOwner,voluntary non-profit - private
2,EmergencyService,yes
2,Condition,surgical infection prevention
2,MeasureCode,scip-inf-2
2,MeasureName,surgery patients who were given the  right kind  of antibiotic to help prevent infection
2,Score,
2,Sample,
2,Stateavg,al_scip-inf-2
3,ProviderNumber,10018
3,HospitalName,callahan eye foundation hospital
3,Address1,1720 university blvd
3,Address2,
3,Address3,
3,City,birmingham
3,State,al
3,ZipCode,35233
3,CountyName,jefferson
3,PhoneNumber,2053258100
3,HospitalType,acute care hospitals
3,HospitalOwner,voluntary non-profit - private
3,EmergencyService,yes
3,Condition,surgical infection prevention
3,MeasureCode,scip-inf-3
3,MeasureName,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
3,Score,
3,Sample,
3,Stateavg,al_scip-inf-3
4,ProviderNumber,10018
4,HospitalName,callahan eye foundation hospital
4,Address1,1720 university blvd
4,Address2,
4,Address3,
4,City,birmingham
4,State,al
4,ZipCode,35233
4,CountyName,jefferson
4,PhoneNumber,2053258100
4,HospitalType,acute care hospitals
4,HospitalOwner,voluntary non-profit - private
4,EmergencyService,yes
4,Condition,surgical infection prevention
4,MeasureCode,scip-inf-4
4,MeasureName,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
4,Score,
4,Sample,
4,Stateavg,al_scip-inf-4
5,ProviderNumber,10018
5,HospitalName,callahan eye foundation hospital
5,Address1,1720 university blvd
5,Address2,
5,Address3,
5,City,birmingham
5,State,al
5,ZipCode,35233
5,CountyName,jefferson
5,PhoneNumber,2053258100
5,HospitalType,acute care hospitals
5,HospitalOwner,voluntary non-profit - private
5,EmergencyService,yes
5,Condition,surgical infection prevention
5,MeasureCode,scip-inf-6
5,MeasureName,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor)
5,Score,
5,Sample,
5,Stateavg,al_scip-inf-6
6,ProviderNumber,10018
6,HospitalName,callahan eye foundation hospital
6,Address1,1720 university blvd
6,Address2,
6,Address3,
6,City,birmingham
6,State,al
6,ZipCode,35233
6,CountyName,jefferson
6,PhoneNumber,2053258100
6,HospitalType,acute care hospitals
6,HospitalOwner,voluntary non-profit - private
6,EmergencyService,yes
6,Condition,surgical infection prevention
6,MeasureCode,scip-vte-1
6,MeasureName,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
6,Score,
6,Sample,
6,Stateavg,al_scip-vte-1
7,ProviderNumber,10018
7,HospitalName,callahan eye foundation hospital
7,Address1,1720 university blvd
7,Address2,
7,Address3,
7,City,birmingham
7,State,al
7,ZipCode,35233
7,CountyName,jefferson
7,PhoneNumber,2053258100
7,HospitalType,acute care hospitals
7,HospitalOwner,voluntary non-profit - private
7,EmergencyService,yes
7,Condition,surgical infection prevention
7,MeasureCode,scip-vte-2
7,MeasureName,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
7,Score,
7,Sample,
7,Stateavg,al_scip-vte-2
8,ProviderNumber,10019
8,HospitalName,helen keller memorial hospital
8,Address1,1300 south montgomery avenue
8,Address2,
8,Address3,
8,City,sheffield
8,State,al
8,ZipCode,35660
8,CountyName,jefferson
8,PhoneNumber,2563864556
8,HospitalType,acute care hospitals
8,HospitalOwner,government - hospital district or authority
8,EmergencyService,yes
8,Condition,heart attack
8,MeasureCode,ami-1
8,MeasureName,heart attack patients given aspirin at arrival
8,Score,97%
8,Sample,33 patients
8,Stateavg,al_ami-1
9,ProviderNumber,10019
9,HospitalName,helen keller memorial hospital
9,Address1,1300 south montgomery avenue
9,Address2,
9,Address3,
9,City,sheffield
9,State,al
9,ZipCode,35660
9,CountyName,jefferson
9,PhoneNumber,2563864556
9,HospitalType,acute care hospitals
9,HospitalOwner,government - hospital district or authority
9,EmergencyService,yes
9,Condition,heart attack
9,MeasureCode,ami-2
9,MeasureName,heart attack patients given aspirin at discharge
9,Score,92%
9,Sample,13 patients
9,Stateavg,al_ami-2
10,ProviderNumber,10019
10,HospitalName,helen keller memorial hospital
10,Address1,1300 south montgomery avenue
10,Address2,
10,Address3,
10,City,sheffield
10,State,al
10,ZipCode,35660
10,CountyName,jefferson
10,PhoneNumber,2563864556
10,HospitalType,acute care hospitals
10,HospitalOwner,government - hospital district or authority
10,EmergencyService,yes
10,Condition,heart attack
10,MeasureCode,ami-3
10,MeasureName,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
10,Score,75%
10,Sample,4 patients
10,Stateavg,al_ami-3
11,ProviderNumber,10019
11,HospitalName,helen keller memorial hospital
11,Address1,1300 south montgomery avenue
11,Address2,
11,Address3,
11,City,sheffield
11,State,al
11,ZipCode,35660
11,CountyName,jefferson
11,PhoneNumber,2563864556
11,HospitalType,acute care hospitals
11,HospitalOwner,government - hospital district or authority
11,EmergencyService,yes
11,Condition,heart attack
11,MeasureCode,ami-4
11,MeasureName,heart attack patients given smoking cessation advice/counseling
11,Score,100%
11,Sample,4 patients
11,Stateavg,al_ami-4
12,ProviderNumber,10019
12,HospitalName,helen keller memorial hospital
12,Address1,1300 south montgomery avenue
12,Address2,
12,Address3,
12,City,sheffield
12,State,al
