tid,attribute,correct_val
0,ProviderNumber,10018
0,HospitalName,callahan eye foundation hospital
0,Address1,1720 university blvd
0,Address2,
0,Address3,
0,City,birmingham
0,State,al
0,ZipCode,35233
0,CountyName,jefferson
0,PhoneNumber,2053258100
0,HospitalType,acute care hospitals
0,HospitalOwner,voluntary non-profit - private
0,EmergencyService,yes
0,Condition,surgical infection prevention
0,MeasureCode,scip-inf-6
0,MeasureName,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor)
0,Score,
0,Sample,
0,Stateavg,al_scip-inf-6
1,ProviderNumber,10019
1,HospitalName,helen keller memorial hospital
1,Address1,1300 south montgomery avenue
1,Address2,
1,Address3,
1,City,sheffield
1,State,al
1,ZipCode,35660
1,CountyName,jefferson
1,PhoneNumber,2563864556
1,HospitalType,acute care hospitals
1,HospitalOwner,government - hospital district or authority
1,EmergencyService,yes
1,Condition,heart attack
1,MeasureCode,ami-7a
1,MeasureName,heart attack patients given fibrinolytic medication within 30 minutes of arrival
1,Score,
1,Sample,0 patients
1,Stateavg,al_ami-7a
2,ProviderNumber,10019
2,HospitalName,helen keller memorial hospital
2,Address1,1300 south montgomery avenue
2,Address2,
2,Address3,
2,City,sheffield
2,State,al
2,ZipCode,35660
2,CountyName,jefferson
2,PhoneNumber,2563864556
2,HospitalType,acute care hospitals
2,HospitalOwner,government - hospital district or authority
2,EmergencyService,yes
2,Condition,heart failure
2,MeasureCode,hf-4
2,MeasureName,heart failure patients given smoking cessation advice/counseling
2,Score,100%
2,Sample,41 patients
2,Stateavg,al_hf-4
3,ProviderNumber,10001
3,HospitalName,southeast alabama medical center
3,Address1,1108 ross clark circle
3,Address2,
3,Address3,
3,City,dothan
3,State,al
3,ZipCode,36302
3,CountyName,houston
3,PhoneNumber,3347938701
3,HospitalType,acute care hospitals
3,HospitalOwner,government - hospital district or authority
3,EmergencyService,yes
3,Condition,pneumonia
3,MeasureCode,pn-6
3,MeasureName,pneumonia patients given the most appropriate initial antibiotic(s)
3,Score,80%
3,Sample,147 patients
3,Stateavg,al_pn-6
4,ProviderNumber,10001
4,HospitalName,southeast alabama medical center
4,Address1,1108 ross clark circle
4,Address2,
4,Address3,
4,City,dothan
4,State,al
4,ZipCode,36302
4,CountyName,houston
4,PhoneNumber,3347938701
4,HospitalType,acute care hospitals
4,HospitalOwner,government - hospital district or authority
4,EmergencyService,yes
4,Condition,surgical infection prevention
4,MeasureCode,scip-card-2
4,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
4,Score,72%
4,Sample,79 patients
4,Stateavg,al_scip-card-2
5,ProviderNumber,10005
5,HospitalName,marshall medical center south
5,Address1,2505 u s highway 431 north
5,Address2,
5,Address3,
5,City,boaz
5,State,al
5,ZipCode,35957
5,CountyName,marshall
5,PhoneNumber,2565938310
5,HospitalType,acute care hospitals
5,HospitalOwner,government - hospital district or authority
5,EmergencyService,yes
5,Condition,heart attack
5,MeasureCode,ami-3
5,MeasureName,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
5,Score,100%
5,Sample,2 patients
5,Stateavg,al_ami-3
6,ProviderNumber,10005
6,HospitalName,marshall medical center south
6,Address1,2505 u s highway 431 north
6,Address2,
6,Address3,
6,City,boaz
6,State,al
6,ZipCode,35957
6,CountyName,marshall
6,PhoneNumber,2565938310
6,HospitalType,acute care hospitals
6,HospitalOwner,government - hospital district or authority
6,EmergencyService,yes
6,Condition,pneumonia
6,MeasureCode,pn-7
6,MeasureName,pneumonia patients assessed and given influenza vaccination
6,Score,81%
6,Sample,118 patients
6,Stateavg,al_pn-7
7,ProviderNumber,10005
7,HospitalName,marshall medical center south
7,Address1,2505 u s highway 431 north
7,Address2,
7,Address3,
7,City,boaz
7,State,al
7,ZipCode,35957
7,CountyName,marshall
7,PhoneNumber,2565938310
7,HospitalType,acute care hospitals
7,HospitalOwner,government - hospital district or authority
7,EmergencyService,yes
7,Condition,surgical infection prevention
7,MeasureCode,scip-card-2
7,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
7,Score,36%
7,Sample,14 patients
7,Stateavg,al_scip-card-2
8,ProviderNumber,10005
8,HospitalName,marshall medical center south
8,Address1,2505 u s highway 431 north
8,Address2,
8,Address3,
8,City,boaz
8,State,al
8,ZipCode,35957
8,CountyName,marshall
8,PhoneNumber,2565938310
8,HospitalType,acute care hospitals
8,HospitalOwner,government - hospital district or authority
8,EmergencyService,yes
8,Condition,surgical infection prevention
8,MeasureCode,scip-inf-4
8,MeasureName,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
8,Score,
8,Sample,0 patients
8,Stateavg,al_scip-inf-4
9,ProviderNumber,10006
9,HospitalName,eliza coffee memorial hospital
9,Address1,205 marengo street
9,Address2,
9,Address3,
9,City,florence
9,State,al
9,ZipCode,35631
9,CountyName,lauderdale
9,PhoneNumber,2567688400
9,HospitalType,acute care hospitals
9,HospitalOwner,voluntary non-profit - other
9,EmergencyService,yes
9,Condition,pneumonia
9,MeasureCode,pn-2
9,MeasureName,pneumonia patients assessed and given pneumococcal vaccination
9,Score,90%
9,Sample,174 patients
9,Stateavg,al_pn-2
10,ProviderNumber,10008
10,HospitalName,crenshaw community hospital
10,Address1,101 hospital circle
10,Address2,
10,Address3,
10,City,luverne
10,State,al
10,ZipCode,36049
10,CountyName,crenshaw
10,PhoneNumber,3343353374
10,HospitalType,acute care hospitals
10,HospitalOwner,government - federal
10,EmergencyService,yes
10,Condition,heart attack
10,MeasureCode,ami-8a
10,MeasureName,heart attack patients given pci within 90 minutes of arrival
10,Score,
10,Sample,0 patients
10,Stateavg,al_ami-8a
11,ProviderNumber,10008
11,HospitalName,crenshaw community hospital
11,Address1,101 hospital circle
11,Address2,
11,Address3,
11,City,luverne
11,State,al
11,ZipCode,36049
11,CountyName,crenshaw
11,PhoneNumber,3343353374
11,HospitalType,acute care hospitals
11,HospitalOwner,government - federal
11,EmergencyService,yes
11,Condition,pneumonia
11,MeasureCode,pn-5c
11,MeasureName,pneumonia patients given initial antibiotic(s) within 6 hours after arrival
11,Score,95%
11,Sample,21 patients
11,Stateavg,al_pn-5c
12,ProviderNumber,10010
12,HospitalName,marshall medical center north
12,Address1,8000 alabama highway 69
12,Address2,
12,Address3,
12,City,guntersville
12,State,al
12,ZipCode,35976
12,CountyName,marshall
12,PhoneNumber,2565718000
12,HospitalType,acute care hospitals
