Reign,Period,Dynasty,State,Region,Artist Nationality,City,Culture,Classification,Artist Alpha Sort,Country,Title,Object Name
later reign of Amenhotep II–mid-reign of Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Unwin, Francis Sydney|Hopgood, Hugh R.|Davies, Norman de Garis|Crane, Lancelot",Egypt,North Side of the West Wall of Nakht's Offering Chapel,"Facsimile, TT 52, fishing, fowling, wine making, clap net,"
later reign of Amenhotep II–mid-reign of Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Hopgood, Hugh R.|Davies, Norman de Garis|Crane, Lancelot",Egypt,"Banquet Scene with Musicians, Tomb of Nakht","Facsimile, Nakht (TT 52), banquet, musicians"
reign of Senwosret II,Middle Kingdom,Dynasty 12,,Middle Egypt,,,,,"Davies, Nina de Garis|Davies, Norman de Garis",Egypt,"Detail of a Bird, Tomb of Khnumhotep","Facsimile, Khnumhotep (Beni Hasan 3), bird"
later reign of Amenhotep II–mid-reign of Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,Ceiling on the North Side of Nakht's Offering Chapel,"Facsimile, Nakht (TT 52), ceiling"
,,,Gloucester County,,"American, born Germany",Manheim,American,Glass,"Stiegel, Henry William|Stenger Glass House|American Flint Glass Manufactory ",United States|United States,Sugar bowl,Sugar bowl
reign of Amenhotep II,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Hopgood, Hugh R.|Davies, Nina de Garis|Davies, Norman de Garis",Egypt,Lunette Over a Door,"Facsimile, Qenamun (TT 93), lunette"
reign of Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,Detail of a Bull from a Procession of Offering Bearers,"Facsimile, TT 226, offering procession, bull"
reign of Akhenaten,"New Kingdom, Amarna Period",Dynasty 18,,Middle Egypt,,,,,"Davies, Nina de Garis|Davies, Norman de Garis",Egypt,Scene of Birds and Border Decoration,"Facsimile, Amarna, North Palace, floor"
reign of Ramesses II,"Twentieth Century; original New Kingdom, Ramesside",Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis|Davies, Norman de Garis",Egypt,"Fishing Scene, Tomb of Ipuy","Facsimile, Ipuy (TT 217), fishing"
later reign of Amenhotep II–mid-reign of Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,Ceiling on the South Side of Nakht's Offering Chapel,"Facsimile, TT 52, ceiling"
later reign of Amenhotep II–mid-reign of Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,Nakht and his Wife Receiving Offerings,"Facsimile, TT 52, offering"
reign of Senwosret II,Middle Kingdom,Dynasty 12,,Middle Egypt,,,,,"Davies, Nina de Garis|Davies, Norman de Garis",Egypt,"Detail of a Wild Feline, Tomb of Khnumhotep","Facsimile, Khnumhotep (Beni Hasan 3), desert animal"
later reign of Amenhotep II–mid-reign of Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis|Crane, Lancelot",Egypt,"East Wall, South Side of Nakht's Offering Chapel","Facsimile, TT 52, offering, agriculture, Nakht, Tawy"
reign of Akhenaten,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Funeral Procession, Tomb of Ramose","Facsimile, Ramose (TT 55), funeral procession"
later reign of Amenhotep II–mid-reign of Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Crane, Lancelot",Egypt,North Wall of Nakht's Offering Chapel,"Facsimile, TT 52, north wall, offering scenes, Nakht, Tawy"
,,,Haute-Vienne,Western,American and French|American,Limoges,American,Ceramics,"Lloyde, L. T.|Haviland & Co.|O'Hara, Dorothea Warren",United States|France,Plate,Plate
,,,Queens,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company|Tiffany Furnaces",United States,Vase,Vase
reign of Senwosret II,Middle Kingdom,Dynasty 12,,Middle Egypt,,,,,"Davies, Nina de Garis|Davies, Norman de Garis",Egypt,"Detail of a Desert Animal, Tomb of Khnumhotep","Facsimile, Khnumhotep (Beni Hasan 3), desert animal"
reign of Menkaure,Twentieth Century; original Old Kingdom,Dynasty 4,,Memphite Region,American,,,,"Smith, Joseph Lindon",Egypt,Copy of painting from Khuenre's mastaba,"Facsimile, Khuenre"
later reign of Amenhotep II–mid-reign of Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Crane, Lancelot|Unwin, Francis Sydney|Davies, Norman de Garis",Egypt,South Wall of Nakht's Offering Chapel,"Facsimile, TT 52, false door, offerings"
reign of Senwosret II,Middle Kingdom,Dynasty 12,,Middle Egypt,,,,,"Davies, Nina de Garis|Davies, Norman de Garis",Egypt,"Detail of a Fish, Tomb of Khnumhotep","Facsimile, Khnumhotep (Beni Hasan 3), fish"
later reign of Amenhotep II–mid-reign of Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,Ceiling on the North Side of the Transverse Hall of Nakht's Offering Chapel,"Facsimile, Nakht (TT 52), ceiling"
later reign of Amenhotep II–mid-reign of Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Crane, Lancelot",Egypt,Ceiling in the Center of the Transverse Hall of Nakht's Offering Chapel,"Facsimile, Nakht (TT 52), ceiling"
later reign of Amenhotep II–mid-reign of Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,"East Wall, Nouth Side of Nakht's Offering Chapel","Facsimile, TT 52, offering, Nakht, Tawy"
reign of Senwosret II,Middle Kingdom,Dynasty 12,,Middle Egypt,,,,,"Davies, Nina de Garis|Davies, Norman de Garis",Egypt,"Detail of a Ram, Tomb of Khnumhotep","Facsimile,  Khnumhotep (Beni Hasan 3), ram"
later reign of Amenhotep II–mid-reign of Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Crane, Lancelot",Egypt,Ceiling on the South Side of the Transverse Hall of Nakht's Offering Chapel,"Facsimile, Nakht (TT 52), ceiling"
reign of Senwosret II,Middle Kingdom,Dynasty 12,,Middle Egypt,,,,,"Davies, Norman de Garis",Egypt,"Weavers, Tomb of Khnumhotep","Facsimile, Khnumhotep (Beni Hasan 3), weavers"
,,,Queens,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Hibiscus and Parrots,Window
reign of Amenhotep III,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Amenhotep III and Queen Tiye Enthroned Beneath a Kiosk, Tomb of Anen","Facsimile, Anen (TT 120), Amenhotep III, Queen Tiye, kiosk"
,,,Queens,,American,New York,American,Frames,"Tiffany Studios |Tiffany, Louis Comfort",United States,Calendar Frame,Calendar frame
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Covered Inkwell,Inkwell
reign of Amenhotep III–Akhenaten,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis|Hopgood, Hugh R.",Egypt,Osiris and the Four Sons of Horus,"Facsimile, Nebamun (TT 181), Ipuky, Osiris, Fours Sons of Horus"
reign of Amenemhat II,Middle Kingdom,Dynasty 12,,Middle Egypt,,,,,"Davies, Nina de Garis",Egypt,"Netting Birds, Tomb of Khnumhotep","Facsimile, Khnumhotep (Beni Hasan 3), fowling"
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Letter Opener,Letter opener
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Covered Box,Box
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Magnifying Glass,Magnifying glass
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Covered Box,Box
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Frame,Frame
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Paper Holder,Paper holder
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Button Hook,Button hook
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Pen Handles,Pen handles
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Candle Shade and Support,Candle shade and support
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Pen Brush,Pen brush
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Pen Tray,Pen tray
,,,Queens,,American,New York,American,Metal,"Tiffany Studios |Tiffany, Louis Comfort",United States,Thermometer,Thermometer
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Letter Scale,Letter scale
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Plate,Plate
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Letter Opener,Letter opener
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Inkwell and Tray,Inkwell and tray
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Ash Tray,Ash tray
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Inkwell,Inkwell
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Plaque,Plaque
,,,Queens,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Plaque,Plaque
reign of Thutmose IV–Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Menna and Family Hunting in the Marshes, Tomb of Menna","Facsimile, Menna (TT 69), marsh hunting"
reign of Ramesses II,"New Kingdom, Ramesside",Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis|Davies, Norman de Garis",Egypt,"Fishing and Fowling, Tomb of Ipuy","Facsimile, Ipuy (TT 217), fishing, fowling"
reign of Seti I,"Twentieth Century; original New Kingdom, Ramesside",Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,"Userhat Adoring Deities of the West, Tomb of Userhat","Facsimile, Userhat (TT 51), adoration, western gods"
,,,Queens,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Davenport, ",England,Plate,Plate
reign of Ramesses II,"Twentieth Century; original New Kingdom, Ramesside",original Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,"Offerings Made to the Deceased and his Wife, Tomb of Djehutyemheb","Facsimile, Djehutyemhab (TT 45), offering scenes"
reign of Ramesses II,"Twentieth Century; original New Kingdom, Ramesside",original Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Funerary Banquet, Tomb of Djehutyemheb","Facsimile, Djehuty (TT 45), Djehutyemhab, banquet"
reign of Ramesses II,"Twentieth Century; original New Kingdom, Ramesside",original Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,"Funerary Banquet, Tomb of Djehutyemheb","Facsimile, Djehuty (TT 45), Djehutyemhab, banquet"
reign of Ramesses II,"Twentieth Century; original New Kingdom, Ramesside",original Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis|Unwin, Francis Sydney",Egypt,"Djehutyemhab and his Wife Worshipping Amun-Re-Harakhty, Tomb of Djehutyemhab","Facsimile, Djehuty (TT 45), Djehutyemhab, Amun-Re-Harakhty"
reign of Ramesses II,"Twentieth Century; original New Kingdom, Ramesside",original Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Djehutyemheb and his Wife Adoring Sokar, Tomb of Djehutyemheb","Facsimile, Djehuty (TT 45), Djehutyemhab, adoration scene, Sokar"
reign of Ramesses II,"Twentieth Century; original New Kingdom, Ramesside",original Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,"Western Sun Adored by Deities, Tomb of Djehutyemheb","Facsimile, Djehuty (TT 45), Djehutyemhab, ceiling"
,,,Staffordshire|Staffordshire,,British,Stoke-on-Trent|Stoke-on-Trent,British (American market),Ceramics,Dimmock & Co. Thomas,England|England,Plate,Plate
,,,Staffordshire|Staffordshire,,British,Stoke-on-Trent|Stoke-on-Trent,British (American market),Ceramics,Dimmock & Co. Thomas,England|England,Plate,Plate
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Pugin, Augustus Welby Northmore|Minton and Company ",England,Bread Plate,Bread plate
,,,Queens,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,Queens,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,Queens,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,Queens,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
reign of Ramesses III,"New Kingdom, Ramesside",Dynasty 20,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,Ramesses III and Prince Amenherkhepeshef before Hathor,"Facsimile, Amenherkhepeshef (QV 55), Ramesses III"
,,,Queens,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,Queens,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,Queens,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,Queens,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
reign of Thutmose III–Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Casting Metal, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), metal casting"
reign of Thutmose IV,Twentieth Century; original New Kingdom,Dynasty 18,|,"Upper Egypt, Thebes",,,,|,"Wilkinson, Charles K.",Egypt,Female Musicians,"Facsimile, Djeserkareseneb (TT 38), music, harp, lute, lyre, flute"
Joint reign of Hatshepsut and Thutmose III,"Modern, after New Kingdom (ca. 1479–1458 B.C.) original",Dynasty 18,,"Upper Egypt, Thebes",British,,,,"Carter, Howard",Egypt,"Hatshepsut's Grandmother, Seniseneb","Facsimile, Temple of Hatshepsut,  Seniseneb"
