Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
"15.5.19e, l–m",False,True,548578,Egyptian Art,"Facsimile, TT 52, fishing, fowling, wine making, clap net,",North Side of the West Wall of Nakht's Offering Chapel,,Twentieth Century; original New Kingdom,Dynasty 18,later reign of Amenhotep II–mid-reign of Amenhotep III,,Artist|Artist|Artist|Artist,,Francis Sydney Unwin|Hugh R. Hopgood|Norman de Garis Davies|Lancelot Crane,1885–1925|1865–1941|1880–1918,", baselines l–m","Unwin, Francis Sydney|Hopgood, Hugh R.|Davies, Norman de Garis|Crane, Lancelot",,1885      |1865      |1880      ,1925      |1941      |1918      ,A.D. 1908–1914; original ca. 1410–1370 B.C.,-1410,-1370,Tempera on paper,"Framed: H. 194.3 cm (76 1/2 in.); w. 203.8 cm (80 1/4 in.); th. 3.2 cm (1 1/4 in.)
Scale: 1:1","Rogers Fund, 1915",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Nakht (TT 52),"chapel, west wall, north side [PM (6)]","MMA Graphic Section, 1907–1914",,,,http://www.metmuseum.org/art/collection/search/548578,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
"15.5.19d, j–k",False,True,548576,Egyptian Art,"Facsimile, Nakht (TT 52), banquet, musicians","Banquet Scene with Musicians, Tomb of Nakht",,Twentieth Century; original New Kingdom,Dynasty 18,later reign of Amenhotep II–mid-reign of Amenhotep III,,Artist|Artist|Artist,,Hugh R. Hopgood|Norman de Garis Davies|Lancelot Crane,1865–1941|1880–1918,", baselines j–k","Hopgood, Hugh R.|Davies, Norman de Garis|Crane, Lancelot",,1865      |1880      ,1941      |1918      ,A.D. 1908–1914; original ca. 1410–1370 B.C.,-1410,-1370,Tempera on paper,"Framed 15.5.19d: H. 157.5 cm (62 in.); w. 198.1 cm (78 in.); th. 3.2 cm (1 1/4 in.)
Scale 1:1","Rogers Fund, 1915",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Nakht (TT 52),"chapel, west wall, south side [PM (3)]","MMA Graphic Section, 1908–1914",,,,http://www.metmuseum.org/art/collection/search/548576,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
33.8.10,False,False,544552,Egyptian Art,"Facsimile, Khnumhotep (Beni Hasan 3), bird","Detail of a Bird, Tomb of Khnumhotep",,Middle Kingdom,Dynasty 12,reign of Senwosret II,,Artist|Artist,,Nina de Garis Davies|Norman de Garis Davies,1881–1965|1865–1941,or,"Davies, Nina de Garis|Davies, Norman de Garis",,1881      |1865      ,1965      |1941      ,ca. 1897–1878 B.C.,-1897,-1897,Tempera on paper,"facsimile: h. 18.5 cm (7 5/16 in); w. 19 cm (7 1/2 in)
Scale 1:1
framed: h.","Rogers Fund, 1933",Original from,,,,Egypt,Middle Egypt,Beni Hasan,Tomb of Khnumhotep (Tomb 3),,MMA graphic expedition 1931,,,,http://www.metmuseum.org/art/collection/search/544552,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.19n,False,True,571592,Egyptian Art,"Facsimile, Nakht (TT 52), ceiling",Ceiling on the North Side of Nakht's Offering Chapel,,Twentieth Century; original New Kingdom,Dynasty 18,later reign of Amenhotep II–mid-reign of Amenhotep III,,Artist,,Norman de Garis Davies,1865–1941,,"Davies, Norman de Garis",,1865      ,1941      ,A.D. 1914–1915; original ca. 1410–1370 B.C.,-1410,-1370,Tempera on paper,"L. 80 cm (31 1/2 in.); w. 62 cm (24 7/16 in.); scale 1:1
not framed","Rogers Fund, 1915",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,"Tomb of Nakht, TT 52",Chapel,"MMA Graphic Section, 1914-1915",,,,http://www.metmuseum.org/art/collection/search/571592,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.120.211,False,True,7938,American Decorative Arts,Sugar bowl,Sugar bowl,American,,,,,Maker|Maker|Maker,Possibly by|Possibly by|Possibly by,Henry William Stiegel|Stenger Glass House|American Flint Glass Manufactory,"American (born Germany), Cologne 1729–1785 Charming Forge, Pennsylvania|1764–1774",or|or,"Stiegel, Henry William|Stenger Glass House|American Flint Glass Manufactory ","American, born Germany",1729      |1764      ,1785      |1774      ,1765–90,1765,1790,Blown pattern-molded glass,H. 4 1/4 in. (10.8 cm); Diam. 3 1/8 in. (7.9 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1930",Possibly made in|Possibly made in,Manheim,Gloucester County,Gloucester County,United States|United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/7938,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.62,False,False,557693,Egyptian Art,"Facsimile, Qenamun (TT 93), lunette",Lunette Over a Door,,Twentieth Century; original New Kingdom,Dynasty 18,reign of Amenhotep II,,Artist|Artist|Artist,,Hugh R. Hopgood|Nina de Garis Davies|Norman de Garis Davies,1881–1965|1865–1941,or,"Hopgood, Hugh R.|Davies, Nina de Garis|Davies, Norman de Garis",,1881      |1865      ,1965      |1941      ,A.D. 1914–1916; original ca. 1427–1400 B.C.,-1427,-1400,Tempera on paper,"facsimile: h. 40 cm (15 3/4 in); w. 56.5 cm (22 1/4 in)
scale 1:3
framed: h. 41.9 cm (16 1/2 in); w. 60.6 cm (23 7/8 in)","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Qenamun (TT 93),,"MMA Graphic Section, 1914-1915",,,,http://www.metmuseum.org/art/collection/search/557693,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.2,False,True,557769,Egyptian Art,"Facsimile, TT 226, offering procession, bull",Detail of a Bull from a Procession of Offering Bearers,,Twentieth Century; original New Kingdom,Dynasty 18,reign of Amenhotep III,,Artist,,Nina de Garis Davies,1881–1965,", Egyptian Expedition Graphic Section","Davies, Nina de Garis",,1881      ,1965      ,A.D. 1914; original ca. 1390–1352 B.C.,-1390,-1352,Tempera on paper,"Facsimile H. 39 cm (15 3/8 in); w. 44.5 cm (17 1/2 in)
scale 1:1
Framed H. 40.6 cm (16 in); w. 46.4 cm (18 1/4 in)","Rogers Fund, 1915",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb TT 226,,facsimile,,,,http://www.metmuseum.org/art/collection/search/557769,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
33.8.19,False,False,557780,Egyptian Art,"Facsimile, Amarna, North Palace, floor",Scene of Birds and Border Decoration,,"New Kingdom, Amarna Period",Dynasty 18,reign of Akhenaten,,Artist|Artist,,Nina de Garis Davies|Norman de Garis Davies,1881–1965|1865–1941,or,"Davies, Nina de Garis|Davies, Norman de Garis",,1881      |1865      ,1965      |1941      ,ca. 1353–1336 B.C.,-1353,-1336,Tempera on paper,"facsimile: h. 95.5 cm (37 5/8 in); w. 78 cm (30 11/16 in)
scale 1:1
framed: h. 96.2 cm (37 7/8 in); w. 80.6 cm (31 3/4 in)","Rogers Fund, 1933",Original from,,,,Egypt,Middle Egypt,Amarna (Akhetaten),North Palace,,MMA graphic expedition 1926–27 (probably),,,,http://www.metmuseum.org/art/collection/search/557780,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.6,False,False,557827,Egyptian Art,"Facsimile, Ipuy (TT 217), fishing","Fishing Scene, Tomb of Ipuy",,"Twentieth Century; original New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,,Artist|Artist,,Nina de Garis Davies|Norman de Garis Davies,1881–1965|1865–1941,", Egyptian Expedition Graphic Section","Davies, Nina de Garis|Davies, Norman de Garis",,1881      |1865      ,1965      |1941      ,A.D. 1913; original ca. 1295–1213 B.C.,-1295,-1213,Tempera on paper,"Facsimile H. 35.5 cm (14 in); w. 64 cm (25 3/16 in)
scale 1:1
Framed H. 38.6 cm (15 3/16 in); w. 68.3 cm (26 7/8 in)","Rogers Fund, 1915",Original from,,,,Egypt,"Upper Egypt, Thebes",Deir el-Medina,Tomb of Ipuy (TT 217),"north wall, bottom half",,,,,http://www.metmuseum.org/art/collection/search/557827,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.19o,False,False,571593,Egyptian Art,"Facsimile, TT 52, ceiling",Ceiling on the South Side of Nakht's Offering Chapel,,Twentieth Century; original New Kingdom,Dynasty 18,later reign of Amenhotep II–mid-reign of Amenhotep III,,Artist,,Norman de Garis Davies,1865–1941,,"Davies, Norman de Garis",,1865      ,1941      ,A.D. 1914–1915; original ca. 1410–1370 B.C..,-1410,-1370,Tempera on paper,"L. 107 cm (42 1/8 in.); w. 88 cm (34 5/8 in.); scale 1:1
not framed","Rogers Fund, 1915",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,"Tomb of Nakht, TT 52",Chapel,"MMA Graphic Section, 1914-1915",,,,http://www.metmuseum.org/art/collection/search/571593,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
